loop,traffic,network,location,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
6,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1965,318430,187217032,316465,186061612,2.632999999,659.485999999,659.493999999,285014.4545855107,283258.7290157278
6,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,2276,364363,214224756,362087,212886468,2.935999999,734.364999999,734.373999999,292878.8553676392,291051.9661269992
6,Light,public,loc1,3,7.0.0.4,7.0.0.7,TCP,2626,392376,230696156,389750,229152068,2.791999999,799.461999999,799.476999999,289570.0091965097,287631.9599339764
6,Light,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,172890,9248288,172890,9248288,2.647999999,659.472999999,659.485999999,14079.970769137082,14080.013641110898
6,Light,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,197513,10560728,197513,10560728,2.950999999,734.355999999,734.364999999,14438.664515599792,14438.782960129283
6,Light,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,214429,11496200,214429,11496200,2.806999999,799.448999999,799.461999999,14430.551667781743,14430.58789563864
6,Light,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2670,285074,167276168,282404,165732456,1.474999999,799.452999999,799.467999999,209621.01073882592,207686.60376720096
6,Light,public,loc1,8,7.0.0.9,7.0.0.10,TCP,2973,254854,149511824,251881,147789388,1.323999999,799.016999999,799.031999999,187426.70089308647,185267.5264633174
6,Light,public,loc1,9,7.0.0.9,7.0.0.8,TCP,911,155650,8404380,154739,8354552,1.489999999,799.441999999,799.452999999,10532.24005503987,10469.848852641038
6,Light,public,loc1,10,7.0.0.10,7.0.0.9,TCP,229,141523,7666836,141294,7653816,1.338999999,799.014999999,799.029999999,9611.285572985027,9594.963463295937
7,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1838,324205,190620840,322367,189540096,2.659999999,659.420999999,659.435999999,290236.9286695364,288591.69031755114
7,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,2239,361225,212382364,358986,211065832,2.086999999,734.401999999,734.416999999,290008.8294415274,288211.3691914847
7,Light,public,loc1,3,7.0.0.4,7.0.0.7,TCP,2494,393236,231199760,390742,229733288,2.525999999,799.473999999,799.488999999,290100.96423955297,288260.9205195222
7,Light,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,174811,9330992,174811,9330992,2.674999999,659.409999999,659.420999999,14207.829463266084,14207.915997965729
7,Light,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,196500,10514220,196500,10514220,2.101999999,734.386999999,734.401999999,14357.804178615324,14357.80417861532
7,Light,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,214560,11489328,214560,11489328,2.540999999,799.461999999,799.473999999,14416.876637521707,14416.930908871887
7,Light,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2445,265901,155993844,263456,154593328,1.070999999,799.014999999,799.029999999,195490.92150036411,193735.9287883212
7,Light,public,loc1,8,7.0.0.9,7.0.0.8,TCP,902,146151,7939644,145249,7890452,1.085999999,799.015999999,799.030999999,9950.114356252623,9888.46599702987
7,Light,public,loc1,9,7.0.0.9,7.0.0.10,TCP,2805,266664,156439612,263859,154817552,1.518999999,799.497999999,799.512999999,196040.91801820483,194008.4161033792
7,Light,public,loc1,10,7.0.0.10,7.0.0.9,TCP,66,147933,8038160,147867,8034488,1.533999999,799.482999999,799.497999999,10073.336641753263,10068.734930397864
8,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,3374,358800,210947632,355426,208963720,2.973999999,659.448999999,659.458999999,321326.1632144485,318306.9224734762
8,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,3531,396258,232978416,392727,230902188,2.418999999,734.480999999,734.495999999,318242.68192254106,315406.9694854503
8,Light,public,loc1,3,7.0.0.5,7.0.0.2,TCP,0,198397,10670464,198397,10670464,2.988999999,659.436999999,659.448999999,16254.478927220576,16254.553209639584
8,Light,public,loc1,4,7.0.0.6,7.0.0.3,TCP,0,219045,11773724,219045,11773724,2.433999999,734.468999999,734.480999999,16083.223823509325,16083.289734129092
8,Light,public,loc1,5,7.0.0.8,7.0.0.9,TCP,2490,296402,173976292,293912,172516516,1.908999999,799.009999999,799.027999999,218256.98099136105,216425.04569581203
8,Light,public,loc1,6,7.0.0.9,7.0.0.10,TCP,3086,286482,168123292,283396,166314884,1.521999999,798.991999999,799.010999999,210816.63651372172,208548.1856176073
8,Light,public,loc1,7,7.0.0.9,7.0.0.8,TCP,2674,162520,8714400,159846,8571400,1.923999999,799.027999999,799.039999999,10932.370198176182,10753.014617696796
8,Light,public,loc1,8,7.0.0.10,7.0.0.9,TCP,22,157331,8448740,157309,8447540,1.536999999,799.010999999,799.021999999,10594.177474548238,10592.725881991511
